	GeneIndex	Name
146	146	pccmt
146	146	hste14
146	146	ppmt
147	147	icmt-dt
147	147	c1orf211
147	147	ncrna00337
147	147	linc00337
147	147	mgc40168
148	148	hes3
148	148	bhlhb43
149	149	gpr153
149	149	pgr1
150	150	acot7
150	150	bach
150	150	ach1
150	150	act
150	150	cte-ii
150	150	lach1
150	150	mgc1126
150	150	hbach
151	151	hes2
151	151	bhlhb40
152	152	espn
152	152	dfnb36
153	153	mi0015864
154	154	tnfrsf25
154	154	tnfrsf12
154	154	dr3
154	154	tramp
154	154	wsl-1
154	154	lard
154	154	wsl-lr
154	154	ddr3
154	154	tr3
154	154	apo-3
155	155	plekhg5
155	155	kiaa0720
155	155	syx
155	155	gef720
155	155	tech
156	156	nol9
156	156	flj23323
156	156	net6
156	156	grc3
157	157	tas1r1
157	157	gpr70
157	157	t1r1
157	157	tr1
158	158	zbtb48
158	158	hkr3
158	158	znf855
158	158	tzap
159	159	klhl21
159	159	kiaa0469
160	160	phf13
160	160	mgc43399
161	161	thap3
162	162	dnajc11
162	162	flj10737
163	163	camta1
163	163	kiaa0833
164	164	vamp3
164	164	ceb
165	165	per3
166	166	uts2
166	166	uii
166	166	u-ii
166	166	ucn2
166	166	pro1068
167	167	tnfrsf9
167	167	ila
167	167	cd137
167	167	4-1bb
168	168	trna_pseudo
169	169	park7
169	169	dj-1
169	169	dj1
169	169	gatd2
170	170	ax747125
171	171	errfi1
171	171	mig-6
171	171	gene-33
171	171	ralt
172	172	slc45a1
172	172	dnb5
173	173	rere
173	173	atn1l
173	173	kiaa0458
173	173	arp
173	173	arg
173	173	dnb1
173	173	atn2
174	174	bc113958
175	175	eno1
175	175	eno1l1
175	175	mpb1
175	175	pph
175	175	mbp-1
176	176	mi0022573
177	177	eno1-as1
178	178	ca6
179	179	slc2a7
179	179	glut7
180	180	slc2a5
180	180	glut5
181	181	gpr157
181	181	flj12132
182	182	mi0000268
183	183	h6pd
183	183	gdh
183	183	h6pdh
184	184	spsb1
184	184	ssb-1
185	185	5s_rrna
186	186	slc25a33
186	186	mgc4399
186	186	bmsc-mcp
186	186	pnc1
187	187	tmem201
187	187	rp13-15m17.2
187	187	net5
187	187	ima1
187	187	samp1
188	188	pik3cd
188	188	p110d
189	189	pik3cd-as1
189	189	c1orf200
190	190	bc038541
191	191	clstn1
191	191	cstn1
191	191	kiaa0911
191	191	cdhr12
192	192	ctnnbip1
192	192	icat
192	192	mgc15093
193	193	lzic
193	193	mgc15436
194	194	nmnat1
194	194	lca9
194	194	nmnat
194	194	pnat1
195	195	mi0019304
196	196	rbp7
196	196	crbpiv
197	197	ube4b
197	197	ubox3
197	197	e4
197	197	ufd2
197	197	kiaa0684
198	198	kif1b
198	198	cmt2a
198	198	cmt2
198	198	kiaa0591
198	198	klp
198	198	hmsnii
199	199	mi0014254
200	200	pgd
201	201	cenps
201	201	apitd1
201	201	mhf1
201	201	cenp-s
201	201	faap16
202	202	cenps-cort
202	202	apitd1-cort
203	203	cort
203	203	mgc32686
203	203	sst2
204	204	dffa
204	204	dff-45
204	204	dff45
204	204	icad
204	204	dff1
205	205	pex14
206	206	casz1
206	206	flj20321
206	206	znf693
206	206	castor
206	206	cst
206	206	srg
207	207	c1orf127
207	207	flj37118
208	208	tardbp
208	208	tdp-43
208	208	als10
209	209	masp2
209	209	masp1p1
209	209	map19
209	209	smap
209	209	map-2
210	210	srms
210	210	c20orf148
210	210	srm
210	210	dj697k14.1
