,GeneIndex,Name,Log2FoldChange,AdjustedPValue
5196,5196,BBS1,0.0,1.0
5197,5197,ZDHHC24,0.0,1.0
5198,5198,ACTN3,0.0,1.0
5199,5199,CTSF,0.0,1.0
5200,5200,CCDC87,0.0,1.0
5201,5201,CCS,0.0,1.0
5202,5202,RBM14,0.0,1.0
5203,5203,RBM14-RBM4,0.0,1.0
5204,5204,RBM4,0.0,1.0
5205,5205,RBM4B,0.0,1.0
5206,5206,SPTBN2,0.0,1.0
5207,5207,C11orf80,0.0,1.0
5208,5208,RCE1,0.0,1.0
5209,5209,PC,0.0,1.0
5210,5210,LRFN4,0.0,1.0
5211,5211,MI0014193,0.0,1.0
5212,5212,C11orf86,0.0,1.0
5213,5213,SYT12,0.0,1.0
5214,5214,MI0022707,0.0,1.0
5215,5215,RHOD,1.11657956331814,0.003098057043104
5216,5216,KDM2A,0.0,1.0
5217,5217,DKFZp434M1735,0.0,1.0
5218,5218,ADRBK1,0.0,1.0
5219,5219,ANKRD13D,0.0,1.0
5220,5220,AK057681,0.0,1.0
5221,5221,SSH3,0.0,1.0
5222,5222,LOC100130987,0.0,1.0
5223,5223,POLD4,0.0,1.0
5224,5224,7SK_71,0.0,1.0
5225,5225,CLCF1,0.0,1.0
5226,5226,RAD9A,0.0,1.0
5227,5227,PPP1CA,0.0,1.0
5228,5228,TBC1D10C,0.0,1.0
5229,5229,CARNS1,0.0,1.0
5230,5230,RPS6KB2,0.0,1.0
5231,5231,PTPRCAP,0.0,1.0
5232,5232,CORO1B,0.0,1.0
5233,5233,GPR152,0.0,1.0
5234,5234,CABP4,0.0,1.0
5235,5235,TMEM134,0.0,1.0
5236,5236,AIP,0.0,1.0
5237,5237,MI0022597,0.0,1.0
5238,5238,PITPNM1,0.0,1.0
5239,5239,CDK2AP2,1.00290228705966,2.55e-20
5240,5240,CABP2,0.0,1.0
5241,5241,GSTP1,1.28149007473279,2.74e-16
5242,5242,C11orf72,0.0,1.0
5243,5243,NDUFV1,0.0,1.0
5244,5244,AK129926,0.0,1.0
